Master_SKU,Master_Name,Product_Family,Status,Haha_AI_Name,Nayax_Name,Cantaloupe_Name
SKU0231,Oreo Cakesters,Oreo Cakesters,Mapped,Oreo Cackster 3.03 oz,,
SKU0231,Oreo Cakesters,Oreo Cakesters,Mapped,Oreo Cakesters,,
SKU0233,Oreo Ice Cream,Oreo Ice Cream,Mapped,Oreo Icecream,,
SKU0234,Trade Joe's Cacio E Pepe Puffs,Trade Joe's Cacio E Pepe Puffs,Mapped,Organic Cacio E Pepe Puffs 4.9 oz,,
SKU0235,P3 Portable Protein Pack - Turkey Colby Jack Almonds,P3 Portable Protein Pack - Turkey Colby Jack Almonds,Mapped,P3 Portable Protein Pack Turkey Colby Jack Almonds,,
SKU0236,Perfect Bar -  Peanut Butter,Perfect Bar Variety,Mapped,PERFECT BAR Peanut Butter,,
SKU0237,Pop Corners -  Sea Salt,Pop Corners Variety,Mapped,POPCORNERS Sea Salt,,
SKU0238,Paleo Valley Beef Stick Garlic Summer Sausage,Paleo Valley Beef Stick Garlic Summer Sausage,Mapped,Paleo Valley Beef Stick Garlic Summer Sausage,,
SKU0239,Paleo Valley Beef Stick Jalapeno 1oz,Paleo Valley Beef Stick Jalapeno 1oz,Mapped,Paleo Valley Beef Stick Jalapeno 1oz,,
SKU0240,Perfect Bar - Dark Chocolate Chip,Perfect Bar Variety,Mapped,"Perfect Bar
Dark chocolate chip peanut butter",,
SKU0241,Pirates Booty,Pirates Booty,Mapped,,Pirates Booty,
SKU0242,Wonderful Pistachio - Chili Roasted,Wonderful Pistachio Variety,Mapped,Pistachio - Chili Roasted,,
SKU0243,PopChips - Variety,Popchip Variety,Mapped,Pop Chips (Variety) 0.8oz,,
SKU0244,PopTarts,Poptart Variety,Mapped,PopTarts,Pop Tart Blueberry,Poptarts Variety
SKU0245,Pop Corners - White Cheddar,Pop Corners Variety,Mapped,Pop corners - White Cheddar,,
SKU0246,PopChips Sour cream & Onion 2.25 oz,Popchip Variety,Mapped,PopChips Sour cream & Onion 2.25 oz,,
SKU0248,Popchips BBQ 0.8oz,Popchip Variety,Mapped,Popchips BBQ 0.8oz,,Popchips Variety
SKU0250,Pop Corners- Spicy Queso,Pop Corners Variety,Mapped,"Popcorners, Spicy Queso",,
SKU0252,TGIF Potato Skins,TGIF Potato Skins,Mapped,Potato skins,,
SKU0253,Power Crunch Triple Chocolate,Power Crunch Triple Chocolate,Mapped,Power Crunch Triple Chocolate 1.4 oz,,
SKU0254,Powerade - Blue,Powerade Variety,Mapped,Powerade (Blue),,
SKU0256,Powerade Zero - Fruit Punch,Powerade Zero Variety,Mapped,Powerade Zero Fruit Punch 591ml,Powerade Zero,
SKU0257,Powerade Zero - Mixed Berry,Powerade Zero Variety,Mapped,Powerade Zero Mixed Berry 591ml,,
SKU0258,Powerade Zero - Grape,Powerade Zero Variety,Mapped,Powerade zero grape,,
SKU0259,Pretzel Crisps - Buffalo Wing,Pretzel Crisps - Buffalo Wing,Mapped,Pretzel crisps buffalo wing,,
SKU0260,Protein Pints - Chocolate 1 Pint,Protein Pints - Chocolate 1 Pint,Mapped,Protein Pints Chocolate 1 Pint,,
SKU0261,Protein Pints - Peanut Better Cup 1 Pint,Protein Pints - Peanut Better Cup 1 Pint,Mapped,Protein Pints Peanut Better Cup 1 Pint,,
SKU0262,RX Bar - Chocolate Sea Salt,RX Bar Variety,Mapped,RX Bar Chocolate Sea salt 1.8oz,,
SKU0263,Rao's Meat Lasagna 9oz,Rao's Meat Lasagna 9oz,Mapped,Rao's Meat Lasagna 9oz,,
SKU0264,Red Bull 12oz,Red Bull 12oz,Mapped,Red Bull Energy Drink Original,,Red Bull 12oz
SKU0265,Red Bull 12oz Sugar Free,Red Bull 12oz Sugar Free,Mapped,Red Bull Sugar Free 12 oz,Red Bull 12oz Sugar Free,
SKU0267,Red Bull 12oz Pink,Red Bull 12oz Pink,Mapped,Red Bull Pink Edition Wild Berries,,
SKU0269,Red Bull 12oz Orange,Red Bull 12oz Orange,Mapped,Red Bull Sugar Free Strawberry Apricot 355ml,,
SKU0270,Red's Chicken Cilantro & Lime burrito,Red's Chicken Cilantro & Lime burrito,Mapped,Red's Chicken Cilantro & Lime burrito,,
SKU0271,Red's Steak & Cheddar Burrito 5oz,Red's Steak & Cheddar Burrito 5oz,Mapped,Red's Steak & Cheddar Burrito 5oz,,
SKU0272,Reese's Fast Break,Reese's Fast Break,Mapped,Reese's Fast break,,
SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Mapped,Reese’s,Reese's Peanut Butter Cups,Reese's Peanutbutter Cup
SKU0276,Rice KrispiesTreat Salted Caramel Mega Size 2.1oz,Rice KrispiesTreat Salted Caramel Mega Size 2.1oz,Mapped,Rice KrispiesTreat Salted Caramel Mega Size 2.1oz,,
SKU0277,Rice Krispy Treats,Rice Krispy Treats,Mapped,,,Rice Krispy Treats
SKU0278,Ritz Bits,Ritz Bits,Mapped,Ritz Bits Cheese,,Ritz Bits
SKU0280,Ritz Toasted Chips Sour Cream & Onion 2.5 oz,Ritz Toasted Chips Sour Cream & Onion 2.5 oz,Mapped,Ritz Toasted Chips Sour Cream & Onion 2.5 oz,,
SKU0281,Rolled Corn Tortilla Chip Chili & Lime 9oz,Rolled Corn Tortilla Chip Chili & Lime 9oz,Mapped,Rolled Corn Tortilla Chip Chili & Lime 9oz,,
SKU0282,Ruffles Baked Chips Cheddar & Sour Cream,Fritos Lay Variety,Mapped,Ruffles Baked Chips Cheddar & Sour Cream,,
SKU0283,RX Bar - Peanut Butter Chocolate,RX Bar Variety,Mapped,Rx Bar peanut butter chocolate,,
SKU0284,Skittles Sour,Skittles Sour,Mapped,SKITTLES sour 1.8oz,,
SKU0285,Sahale - Fruit and Nut,Sahale - Fruit and Nut,Mapped,Sahale Fruit and Nut,,
SKU0286,San Pellegrino,San Pellegrino,Mapped,San Pellegrino,,
SKU0287,Screamin' Sicilian Detroit Style 750g,Screamin' Sicilian Detroit Style 750g,Mapped,Screamin' Sicilian Detroit Style 750g,,
SKU0288,Screamin' Sicilian Holy Pepperoni Single 260g,Screamin' Sicilian Holy Pepperoni Single 260g,Mapped,Screamin' Sicilian Holy Pepperoni Single 260g,,
SKU0289,Screamin' Sicilian Supremus Maximus Single 10oz,Screamin' Sicilian Supremus Maximus Single 10oz,Mapped,Screamin' Sicilian Supremus Maximus Single 10oz,,
SKU0290,Skippy PB Bar Milk Chocolate 1.5 oz,Skippy PB Bar Milk Chocolate 1.5 oz,Mapped,Skippy PB Bar Milk Chocolate 1.5 oz,,
SKU0291,Skittles,Skittles,Mapped,skittles 2.17oz,Skittles,
SKU0292,Skittles Tropical,Skittles Tropical,Mapped,,Skittles Purple,Skittles Purple
SKU0292,Skittles Tropical,Skittles Tropical,Mapped,Skittles wild berry,,Skittles Tropical
SKU0295,Smart Water 23.7oz,Smart Water 23.7oz,Mapped,smart Water strawberry blackberry 23.7oz,Smart Water 23.7oz,
SKU0296,Smucker’s Uncrustables Peanut Butter & Grape Jelly,Smucker’s Uncrustables Peanut Butter & Grape Jelly,Mapped,Smucker’s Uncrustables Peanut Butter & Grape Jelly,,
SKU0297,Snapple - Peach Tea,Snapple - Peach Tea,Mapped,Snapple - Peach Tea,Snapple Peach Tea,
SKU0298,Snapple - Kiwi Strawberry,Snapple - Kiwi Strawberry,Mapped,Snapple Kiwi Strawberry20oz,Snapple Kiwi Strawberry,
SKU0300,Snapple - Mango Madness,Snapple - Mango Madness,Mapped,Snapple mango madness 20oz,Snapple Mango Madness,
SKU0302,Snapple - Watermelon Lemonade,Snapple - Watermelon Lemonade,Mapped,,Snapple Watermelon Lemonade,
SKU0304,Snickers Ice Cream Bar 2oz,Snickers Ice Cream Bar 2oz,Mapped,Snickers Ice Cream Bar 2oz,,
SKU0305,Trader Joe's - Sour Cream & Onion Rings,Trader Joe's - Sour Cream & Onion Rings,Mapped,Sour Cream & Onion Rings Lentil & Rice Snacks 2.5 oz,,
SKU0307,Sour Patch Kids 2oz,Sour Patch Kids 2oz,Mapped,Sour Patch Kids 2oz,,
SKU0308,Sour Patch Kids Glow Up,Sour Patch Kids Glow Up,Mapped,,Sour Patch Kids Glow Up,
SKU0309,Sour Punch Bites,Sour Punch Bites,Mapped,,Sour Punch Bites,
SKU0310,Sour Patch Kids 3.6 oz,Sour Patch Kids 3.6 oz,Mapped,Sour patch kids 3.6 oz bag,,Sour Patch Box
SKU0311,Sprite 12oz,Sprite 12oz,Mapped,Sprite Can,Sprite,
SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Mapped,Sprite 16.9 oz,,
SKU0314,Squirt 12 oz,Squirt 12 oz,Mapped,Squirt 12 fl oz,,
SKU0315,St. Cecilia Soda Company - Daytripper 12oz,St. Cecilia Variety,Mapped,St. Cecilia Soda Company - Daytripper 12oz,,
SKU0316,St. Cecilia Soda Company - Sunsipper 12oz,St. Cecilia Variety,Mapped,St. Cecilia Soda Company - Sunsipper 12oz,,
SKU0317,Stardust Lunch-To-Go Tuna,Stardust Lunch-To-Go Tuna,Mapped,Stardust Lunch-To-Go Tuna,,
SKU0318,Steel Omni Energy - Corsa,Steel Omni Energy - Corsa,Mapped,Steel  Omni energy corsa,,
SKU0319,Stoke Provisions Hatch Green Chile 1oz,Stoke Provisions Hatch Green Chile 1oz,Mapped,Stoke Provisions Hatch Green Chile 1oz,,
SKU0320,Stoke Provisions Original 1oz,Stoke Provisions Original 1oz,Mapped,Stoke Provisions Original 1oz,,
SKU0321,Sun Chips,Sun Chips Variety,Mapped,Sun Chips,,Sunchip Variety
SKU0322,Sun Chips - French Onion,Sun Chips Variety,Mapped,Sun Chips (French Onion),,
SKU0323,Sun Chips - Garden Salsa,Sun Chips Variety,Mapped,Sun Chips (Garden Salsa),,
SKU0324,Sun Chips - Original,Sun Chips Variety,Mapped,Sun Chips (Original) 1oz,,
SKU0327,Sunkist Orange 12oz,Sunkist Orange 12oz,Mapped,,Sunkist,Sunkist 12oz
